brand,model,vehicle_type,energy_type,price_min,price_max,cltc_range,battery_kwh,fast_charge_minutes,seats,drive_type,adas_level,smart_cockpit,wheelbase,trunk_volume,safety_score,monthly_sales,suitable_scenarios,highlights,weaknesses
奔驰,E300L,轿车,燃油,465000,529800,0,0,0,5,后驱,L2,MBUX,3094,540,94,9000,豪华商务;社交形象;行政接待;家庭,豪华品牌认知强;内饰氛围好;后排舒适;商务属性强,购车和用车成本高;智能化和能耗不如新能源
宝马,530Li,轿车,燃油,439900,525900,0,0,0,5,后驱,L2,iDrive,3105,520,93,8500,豪华商务;驾驶质感;社交形象;家庭,驾驶质感好;品牌运动属性强;底盘扎实;后排空间充足,内饰豪华感因人而异;用车成本高
奥迪,A6L,轿车,燃油,427900,656800,0,0,0,5,前驱,L2,MMI,3024,430,92,7800,商务;家庭;稳重;行政,商务形象稳重;优惠空间大;乘坐舒适,智能座舱体验偏传统;年轻吸引力一般
奔驰,EQE,轿车,纯电,478000,627000,752,96.1,48,5,后驱,L2,MBUX,3120,430,92,2600,豪华纯电;商务;舒适;品牌,奔驰豪华氛围;纯电静谧;乘坐舒适,价格高;补能和保值需评估
宝马,i5,轿车,纯电,439900,639900,567,79.1,32,5,后驱,L2,iDrive,3105,490,92,3200,豪华纯电;驾驶质感;商务;家庭,宝马操控;豪华品牌;纯电体验,续航参数不突出;价格较高
享界,S9,轿车,纯电,399800,449800,816,100.0,20,5,后驱,L2+,鸿蒙座舱,3050,378,93,6200,鸿蒙智行;行政轿车;智能化;舒适,鸿蒙座舱;华为智驾;行政级舒适;科技属性强,品牌仍在建立;价格区间竞争激烈
享界,S9增程,轿车,增程,309800,369800,1355,53.4,25,5,后驱,L2+,鸿蒙座舱,3050,378,93,7000,鸿蒙智行;行政轿车;长途;无续航焦虑,增程补能灵活;鸿蒙座舱;华为智驾;舒适性强,品牌保值需要观察;后备箱空间一般
尊界,S800,轿车,增程,1000000,1500000,1200,65.0,30,5,四驱,L2+,鸿蒙座舱,3370,500,95,1200,超豪华;旗舰;商务接待;品牌形象,鸿蒙智行旗舰;超豪华定位;科技配置高;行政形象强,价格极高;目标用户窄;参数以官方实时发布为准
问界,M5,SUV,增程,249800,309800,1440,42.0,30,5,后驱,L2+,鸿蒙座舱,2880,369,92,6500,鸿蒙智行;年轻家庭;智驾;长续航,鸿蒙座舱;华为智驾;增程续航长,后排和后备箱不如大尺寸SUV
问界,M8,SUV,增程,359800,449800,1400,52.0,30,6,四驱,L2+,鸿蒙座舱,3105,660,94,9000,鸿蒙智行;六座家庭;长途;舒适,六座布局;鸿蒙座舱;智能化强;长途友好,车身较大;价格较高
阿维塔,12,轿车,纯电,265800,400800,700,94.5,20,5,后驱,L2+,鸿蒙座舱,3020,490,92,5200,设计;智驾;年轻用户;社交形象,造型个性;华为智驾;座舱科技感强,后排头部空间因造型受限;品牌认知仍在成长
智界,S7,轿车,纯电,249800,349800,855,100.0,20,5,后驱,L2+,鸿蒙座舱,2950,420,92,6800,鸿蒙智行;年轻用户;智驾;长续航,华为智驾;长续航;座舱智能化强,交付和渠道体验需关注
智界,R7,SUV,纯电,259800,379800,802,100.0,20,5,后驱,L2+,鸿蒙座舱,2950,837,93,8200,鸿蒙智行;家庭SUV;智驾;长续航,轿跑SUV;鸿蒙座舱;空间和智驾兼顾,造型偏运动;后排头部需试坐
蔚来,ET7,轿车,纯电,428000,516000,705,100.0,40,5,四驱,L2+,Banyan,3060,503,94,2600,高端商务;换电;舒适;品牌服务,换电体系;行政舒适;服务体验强,购车门槛高;能耗偏高
极氪,009,MPV,纯电,439000,789000,822,140.0,35,6,四驱,L2+,ZEEKR OS,3205,376,95,3600,高端家庭;商务MPV;六座;安全,空间豪华;安全配置强;纯电MPV标杆,价格高;车身大
华境,华境S,SUV,插混,159800,203800,255,41.9,18,6,前驱,L2,15.6英寸,3105,423,98,0,家庭;长途;低油耗,CLTC续航255km;L2辅助驾驶;快充约18分钟;大型SUV,
方程豹,钛7,SUV,纯电,179800,239800,755,105.7,17,5,后驱,L2,15.6英寸,2920,1000,98,0,家庭;长途;有家充,CLTC续航755km;L2辅助驾驶;快充约17分钟;中大型SUV,
比亚迪,大唐,SUV,纯电,250000,320000,950,130.15,,7,后驱,L2,,3130,,60,0,家庭;长途;有家充,CLTC续航950km;大型SUV,
岚图汽车,岚图泰山,SUV,插混,379900,509900,1430,65,12,6,四驱,L2,16.1英寸,3120,305,98,1261,家庭;长途;低油耗,CLTC续航1430km;L2辅助驾驶;快充约12分钟;大型SUV,
奥迪AUDI,奥迪E7X,SUV,纯电,289800,379800,751,109,13,5,后驱,L2,27英寸,3060,682,98,0,家庭;长途;有家充,CLTC续航751km;L2辅助驾驶;快充约13分钟;中大型SUV,
吉利银河,星愿,轿车,纯电,68800,87800,410,40.16,21,5,后驱,L2,10.1英寸,2650,375,98,34727,城市通勤;家用;有家充,CLTC续航410km;快充约21分钟;小型车,
零跑汽车,零跑D19,SUV,增程,219800,269800,1300,115,15,7,四驱,L2,17.3英寸,3110,337,98,4455,家庭;长途;低油耗,CLTC续航1300km;L2辅助驾驶;快充约15分钟;大型SUV,
魏牌,魏牌 V9X,SUV,插混,371800,411800,1700,77.7,15,6,四驱,L2,17.3英寸,3150,244,98,0,家庭;长途;低油耗,CLTC续航1700km;L2辅助驾驶;快充约15分钟;大型SUV,
理想汽车,理想i6,SUV,纯电,249800,269800,720,87.3,11,5,后驱,L2,15.7英寸,3000,728,98,21024,家庭;长途;有家充,CLTC续航720km;L2辅助驾驶;快充约11分钟;中大型SUV,
岚图汽车,岚图泰山X8,SUV,纯电,302900,389900,1506,120,20,5,四驱,L2,15.6英寸,3090,1148,98,0,家庭;长途;有家充,CLTC续航1506km;L2辅助驾驶;快充约20分钟;大型SUV,
理想汽车,理想L9,SUV,增程,459800,509800,1650,72.7,10,6,四驱,L2,29英寸,3125,,98,452,家庭;长途;低油耗,CLTC续航1650km;L2辅助驾驶;快充约10分钟;大型SUV,
比亚迪,海狮06,SUV,纯电,139800,179900,1705,82.73,23,5,后驱,L2,15.6英寸,2820,757,98,0,家庭;长途;有家充,CLTC续航1705km;L2辅助驾驶;快充约23分钟;中型SUV,
比亚迪,海鸥,轿车,纯电,69800,85900,405,38.88,30,4,前驱,L2,12.8英寸,2500,930,98,9864,城市通勤;家用;有家充,CLTC续航405km;快充约30分钟;小型车,
名爵,MG4,轿车,纯电,68800,102800,530,53.9,21,5,前驱,L2,10.25英寸,2750,471,98,13189,城市通勤;家用;有家充,CLTC续航530km;快充约21分钟;紧凑型车,
埃安,AION N60,SUV,纯电,109800,129800,610,69.753,23,5,前驱,L2,15.6英寸,2775,447,98,884,家庭;长途;有家充,CLTC续航610km;L2辅助驾驶;快充约23分钟;紧凑型SUV,
大众,与众08,SUV,纯电,229900,289900,730,95.04,20,5,后驱,L2,14.96英寸,3030,766,98,0,家庭;长途;有家充,CLTC续航730km;L2辅助驾驶;快充约20分钟;中大型SUV,
零跑汽车,零跑A10,SUV,纯电,65800,86800,505,53,30,5,前驱,L2,14.6英寸,2605,602,98,14372,家庭;长途;有家充,CLTC续航505km;快充约30分钟;小型SUV,
比亚迪,秦PLUS,轿车,插混,79800,179800,510,57.6,30,5,前驱,L2,10.1英寸,2718,450,98,0,城市通勤;家用;低油耗,CLTC续航510km;快充约30分钟;紧凑型车,
五菱汽车,缤果Pro,轿车,纯电,58800,72800,403,37.9,35,5,前驱,L2,12.8英寸,2560,1370,98,0,城市通勤;家用;有家充,CLTC续航403km;快充约35分钟;小型车,
大众,ID.ERA 9X,SUV,增程,309800,359800,1651,65.2,19,6,四驱,L2,15.6英寸,3070,210,98,2326,家庭;长途;低油耗,CLTC续航1651km;L2辅助驾驶;快充约19分钟;大型SUV,
丰田,铂智7,轿车,纯电,169800,229800,710,88.13,24,5,后驱,L2,15.6英寸,3020,,98,4637,城市通勤;家用;有家充,CLTC续航710km;L2辅助驾驶;快充约24分钟;中大型车,
长安启源,长安启源Q05,SUV,纯电,79900,114900,506,51.9,15,5,前驱,L2,14.6英寸,2735,540,98,15814,家庭;长途;有家充,CLTC续航506km;快充约15分钟;紧凑型SUV,
比亚迪,宋Pro新能源,SUV,插混,102800,133800,301,34.27,,5,前驱,L2,12.8英寸,2712,530,98,0,家庭;长途;低油耗,CLTC续航301km;紧凑型SUV,
小米汽车,小米YU7,SUV,纯电,253500,329900,835,101.7,21,5,后驱,L2,16.1英寸,3000,678,98,9876,家庭;长途;有家充,CLTC续航835km;L2辅助驾驶;快充约21分钟;中大型SUV,
腾势,腾势D9,MPV,插混,309800,600600,800,115,25,7,四驱,L2,15.6英寸,3110,650,98,0,多人出行;家庭商务;低油耗,CLTC续航800km;L2辅助驾驶;快充约25分钟;中大型MPV,
极氪,极氪9X,SUV,插混,465900,599900,1250,70,9,6,四驱,L2,16英寸,3169,470,98,0,家庭;长途;低油耗,CLTC续航1250km;L2辅助驾驶;快充约9分钟;大型SUV,
方程豹,豹5,SUV,插混,239800,329800,210,47.8,16,5,四驱,L2,15.6英寸,2800,,98,1511,家庭;长途;低油耗,CLTC续航210km;L2辅助驾驶;快充约16分钟;中型SUV,
比亚迪,元UP,SUV,纯电,74800,119800,401,45.12,30,5,前驱,L2,10.1英寸,2620,1320,98,15658,家庭;长途;有家充,CLTC续航401km;快充约30分钟;小型SUV,
比亚迪,秦L,轿车,插混,96800,153800,2110,56.64,25,5,前驱,L2,12.8英寸,2820,460,98,0,城市通勤;家用;低油耗,CLTC续航2110km;快充约25分钟;中型车,
丰田,铂智3X,SUV,纯电,109800,159800,610,67.92,24,5,前驱,L2,14.6英寸,2765,,98,10027,家庭;长途;有家充,CLTC续航610km;快充约24分钟;紧凑型SUV,
方程豹,豹8,SUV,插混,419800,427800,1380,46.7,9,7,四驱,L2,17.3英寸,2920,,98,220,家庭;长途;低油耗,CLTC续航1380km;L2辅助驾驶;快充约9分钟;中大型SUV,
比亚迪,海豹06,轿车,插混,96800,139800,545,56.64,25,5,前驱,L2,12.8英寸,2820,550,98,0,城市通勤;家用;低油耗,CLTC续航545km;快充约25分钟;中型车,
AITO 问界,问界M6,SUV,增程,259800,299800,1605,100,15,5,四驱,L2,16.1英寸,2950,882,98,3773,家庭;长途;低油耗,CLTC续航1605km;L2辅助驾驶;快充约15分钟;中大型SUV,
比亚迪,元PLUS,SUV,纯电,115800,147800,510,60.48,30,5,前驱,L2,12.8英寸,2720,,98,5111,家庭;长途;有家充,CLTC续航510km;L2辅助驾驶;快充约30分钟;紧凑型SUV,
蔚来,蔚来ES8,SUV,纯电,406800,456800,635,102,,7,四驱,L2,15.6英寸,3130,547,98,13020,家庭;长途;有家充,CLTC续航635km;L2辅助驾驶;大型SUV,
智界,智界V9,MPV,增程,389800,519800,1320,53.4,15,7,后驱,L2,17.2英寸,3250,892,98,0,多人出行;家庭商务;低油耗,CLTC续航1320km;L2辅助驾驶;快充约15分钟;中大型MPV,
哈弗,哈弗猛龙 PLUS,SUV,插混,169800,209800,255,44.7,,7,四驱,L2,15.6英寸,2850,,98,0,家庭;长途;低油耗,CLTC续航255km;L2辅助驾驶;中型SUV,
比亚迪,汉,轿车,插混,168800,225800,705,72,25,5,前驱,L2,15.6英寸,2920,,98,0,城市通勤;家用;低油耗,CLTC续航705km;L2辅助驾驶;快充约25分钟;中大型车,
极氪,极氪8X,SUV,插混,356800,500800,1416,70,9,5,四驱,L2,16英寸,3069,1133,98,0,家庭;长途;低油耗,CLTC续航1416km;L2辅助驾驶;快充约9分钟;中大型SUV,
吉利银河,银河M9,SUV,插混,183800,269800,1505,41.46,20,6,四驱,L2,30英寸,3030,359,98,3103,家庭;长途;低油耗,CLTC续航1505km;L2辅助驾驶;快充约20分钟;中大型SUV,
智界,智界R7,SUV,增程,249800,319800,1673,100,15,5,后驱,L2,16.1英寸,2950,837,98,1871,家庭;长途;低油耗,CLTC续航1673km;L2辅助驾驶;快充约15分钟;中大型SUV,
比亚迪,海豚,轿车,纯电,99800,129800,520,60.48,30,5,前驱,L2,12.8英寸,2700,345,98,14218,城市通勤;家用;有家充,CLTC续航520km;L2辅助驾驶;快充约30分钟;小型车,
零跑汽车,零跑C10,SUV,增程,122800,142800,1190,74.9,30,5,后驱,L2,14.6英寸,2825,370,98,10728,家庭;长途;低油耗,CLTC续航1190km;L2辅助驾驶;快充约30分钟;中型SUV,
别克,别克至境E7,SUV,插混,159900,199900,1630,32.6,15,5,前驱,L2,15.6英寸,2850,650,98,2562,家庭;长途;低油耗,CLTC续航1630km;L2辅助驾驶;快充约15分钟;中型SUV,
比亚迪,海狮05 EV,SUV,纯电,117800,145900,630,68.547,18,5,后驱,L2,12.8英寸,2770,600,98,5140,家庭;长途;有家充,CLTC续航630km;快充约18分钟;紧凑型SUV,
岚图汽车,岚图梦想家,MPV,插混,309900,709900,1530,108.73,35,7,四驱,L2,15.6英寸,3200,652,98,0,多人出行;家庭商务;低油耗,CLTC续航1530km;L2辅助驾驶;快充约35分钟;中大型MPV,
乐道,乐道L80,SUV,纯电,242800,279800,615,85,25,5,后驱,L2,17.2英寸,3110,1200,98,0,家庭;长途;有家充,CLTC续航615km;L2辅助驾驶;快充约25分钟;大型SUV,
深蓝汽车,深蓝S05,SUV,增程,119900,149900,1310,68.82,20,5,后驱,L2,15.4英寸,2880,492,98,13722,家庭;长途;低油耗,CLTC续航1310km;L2辅助驾驶;快充约20分钟;紧凑型SUV,
小鹏,小鹏MONA M03,轿车,纯电,119800,151800,640,62.2,26,5,前驱,L2,15.6英寸,2815,600,98,13595,城市通勤;家用;有家充,CLTC续航640km;L2辅助驾驶;快充约26分钟;紧凑型车,
方程豹,钛3,SUV,纯电,133800,177800,620,75.6,18,5,后驱,L2,15.6英寸,2745,,98,5206,家庭;长途;有家充,CLTC续航620km;L2辅助驾驶;快充约18分钟;紧凑型SUV,
比亚迪,宋Ultra EV,SUV,纯电,151900,179900,710,82.7,9,5,后驱,L2,15.6英寸,2840,730,98,5940,家庭;长途;有家充,CLTC续航710km;快充约9分钟;中型SUV,
日产,日产NX8,SUV,增程,159900,209900,1450,81,20,5,后驱,L2,15.6英寸,2917,773,98,1953,家庭;长途;低油耗,CLTC续航1450km;L2辅助驾驶;快充约20分钟;中大型SUV,
五菱汽车,宏光MINIEV,轿车,纯电,35800,55800,301,25.1,35,4,后驱,L2,,2190,170,91,0,城市通勤;家用;有家充,CLTC续航301km;快充约35分钟;微型车,
腾势,腾势Z9GT,轿车,插混,269800,414800,1301,122.5,19,5,四驱,L2,17.3英寸,3125,495,98,0,城市通勤;家用;低油耗,CLTC续航1301km;L2辅助驾驶;快充约19分钟;中大型车,
吉利银河,银河M7,SUV,插混,119800,147800,1730,29.8,15,5,前驱,L2,14.6英寸,2785,700,98,762,家庭;长途;低油耗,CLTC续航1730km;快充约15分钟;紧凑型SUV,
魏牌,魏牌 高山,MPV,插混,285800,353800,201,51.55,26,7,四驱,L2,15.6英寸,3275,435,98,6122,多人出行;家庭商务;低油耗,CLTC续航201km;L2辅助驾驶;快充约26分钟;中大型MPV,
五菱汽车,星光730新能源,MPV,插混,103800,117800,500,60,30,7,前驱,L2,12.8英寸,2910,,98,2004,多人出行;家庭商务;低油耗,CLTC续航500km;L2辅助驾驶;快充约30分钟;紧凑型MPV,
坦克,坦克700新能源,SUV,插混,428000,700000,190,59.05,24,5,四驱,L2,15.6英寸,3000,,98,0,家庭;长途;低油耗,CLTC续航190km;L2辅助驾驶;快充约24分钟;中大型SUV,
iCAR,iCAR V27,SUV,增程,169800,196800,1230,34.3,17,5,后驱,L2,15.4英寸,2910,,98,4184,家庭;长途;低油耗,CLTC续航1230km;L2辅助驾驶;快充约17分钟;中大型SUV,
比亚迪,海豹07 EV,轿车,纯电,169900,189900,705,69.07,9,5,后驱,L2,15.6英寸,2900,550,98,612,城市通勤;家用;有家充,CLTC续航705km;L2辅助驾驶;快充约9分钟;中型车,
蔚来,蔚来ES9,SUV,纯电,528000,658000,620,102,,6,四驱,L2,15.6英寸,3250,600,98,0,家庭;长途;有家充,CLTC续航620km;L2辅助驾驶;大型SUV,
奇瑞风云,风云A9L,轿车,插混,149900,236900,260,33.68,15,5,前驱,L2,15.6英寸,3000,405,98,2173,城市通勤;家用;低油耗,CLTC续航260km;L2辅助驾驶;快充约15分钟;中大型车,
比亚迪,唐L,SUV,插混,229800,289800,670,100.5,6,7,前驱,L2,15.6英寸,2950,1960,98,0,家庭;长途;低油耗,CLTC续航670km;L2辅助驾驶;快充约6分钟;中大型SUV,
零跑汽车,零跑C16,SUV,增程,151800,189800,1150,81.9,30,6,后驱,L2,14.6英寸,2825,687,98,4026,家庭;长途;低油耗,CLTC续航1150km;L2辅助驾驶;快充约30分钟;中大型SUV,
比亚迪,唐新能源,SUV,插混,179800,207800,175,26.593,20,7,前驱,L2,15.6英寸,2820,235,98,0,家庭;长途;低油耗,CLTC续航175km;L2辅助驾驶;快充约20分钟;中型SUV,
比亚迪,海狮05 DM-i,SUV,插混,97900,142800,2105,34.275,34,5,前驱,L2,12.8英寸,2770,407,98,0,家庭;长途;低油耗,CLTC续航2105km;快充约34分钟;紧凑型SUV,
极氪,极氪7X,SUV,纯电,229800,269800,802,103,11,5,后驱,L2,16英寸,2925,905,98,0,家庭;长途;有家充,CLTC续航802km;L2辅助驾驶;快充约11分钟;中型SUV,
捷途山海,捷途山海L7 PLUS,SUV,插混,119900,165900,1700,32.66,20,7,前驱,L2,15.6英寸,2820,,98,0,家庭;长途;低油耗,CLTC续航1700km;L2辅助驾驶;快充约20分钟;中型SUV,
乐道,乐道L90,SUV,纯电,265800,299800,605,85,25,7,后驱,L2,17.2英寸,3110,430,98,2066,家庭;长途;有家充,CLTC续航605km;L2辅助驾驶;快充约25分钟;大型SUV,
尚界,尚界Z7,轿车,纯电,219800,299800,905,100,15,5,后驱,L2,15.6英寸,3000,476,98,152,城市通勤;家用;有家充,CLTC续航905km;L2辅助驾驶;快充约15分钟;中大型车,
小鹏,小鹏GX,SUV,纯电,399800,399800,1585,110,12,6,四驱,L2,17.3英寸,3115,673,98,0,家庭;长途;有家充,CLTC续航1585km;L2辅助驾驶;快充约12分钟;大型SUV,
腾势,腾势N8L,SUV,插混,299800,329800,1300,46.9,19,6,四驱,L2,17.3英寸,3075,364,98,0,家庭;长途;低油耗,CLTC续航1300km;L2辅助驾驶;快充约19分钟;大型SUV,
比亚迪,宋L DM-i,SUV,插混,135800,175800,200,26.6,23,5,前驱,L2,15.6英寸,2782,680,98,0,家庭;长途;低油耗,CLTC续航200km;L2辅助驾驶;快充约23分钟;中型SUV,
奇瑞QQ,QQ3 EV,轿车,纯电,58900,78900,420,41.28,17,5,后驱,L2,12.8英寸,2700,375,98,8494,城市通勤;家用;有家充,CLTC续航420km;快充约17分钟;小型车,
长安启源,长安启源A06,轿车,增程,109900,149900,630,63.18,15,5,后驱,L2,15.6英寸,2922,656,98,5959,城市通勤;家用;低油耗,CLTC续航630km;L2辅助驾驶;快充约15分钟;中大型车,
领克,领克10,轿车,插混,175800,213800,1400,95,18,5,四驱,L2,15.4英寸,3005,567,98,0,城市通勤;家用;低油耗,CLTC续航1400km;L2辅助驾驶;快充约18分钟;中大型车,
埃安,AION i60,SUV,增程,102800,135800,1240,74.96,22,5,前驱,L2,14.6英寸,2775,416,98,9711,家庭;长途;低油耗,CLTC续航1240km;L2辅助驾驶;快充约22分钟;紧凑型SUV,
ARCFOX极狐,极狐T1,轿车,纯电,62800,130800,425,42.3,17,5,前驱,L2,15.6英寸,2770,459,98,7589,城市通勤;家用;有家充,CLTC续航425km;快充约17分钟;小型车,
别克,别克GL8新能源,MPV,插混,229900,399900,1450,34.8,,7,前驱,L2,30英寸,3088,521,98,3198,多人出行;家庭商务;低油耗,CLTC续航1450km;L2辅助驾驶;中大型MPV,
特斯拉,Model Y L,SUV,纯电,339000,339000,751,82,,6,四驱,L2,16英寸,3040,420,98,0,家庭;长途;有家充,CLTC续航751km;L2辅助驾驶;中大型SUV,
智己汽车,智己LS8,SUV,增程,261800,311800,1605,66,19,6,后驱,L2,27.1英寸,3060,938,98,1938,家庭;长途;低油耗,CLTC续航1605km;L2辅助驾驶;快充约19分钟;中大型SUV,
深蓝汽车,深蓝S07,SUV,增程,156900,174900,1385,77.94,15,5,后驱,L2,15.6英寸,2900,485,98,5988,家庭;长途;低油耗,CLTC续航1385km;L2辅助驾驶;快充约15分钟;中型SUV,
沃尔沃,沃尔沃XC70插电式混动,SUV,插混,411900,496900,1203,39.6,39,5,前驱,L2,15.4英寸,2895,408,98,0,家庭;长途;低油耗,CLTC续航1203km;L2辅助驾驶;快充约39分钟;中大型SUV,
尊界,尊界S800,轿车,增程,708000,1018000,1333,97,12,5,四驱,L2,15.6英寸,3370,445,98,1147,城市通勤;家用;低油耗,CLTC续航1333km;L2辅助驾驶;快充约12分钟;大型车,
比亚迪,海豹06GT,轿车,纯电,128900,186800,620,72.96,22,5,后驱,L2,15.6英寸,2820,1058,98,2699,城市通勤;家用;有家充,CLTC续航620km;快充约22分钟;中型车,
领克,领克900,SUV,插混,299800,416900,1443,52.38,26,6,四驱,L2,30英寸,3160,1215,98,1057,家庭;长途;低油耗,CLTC续航1443km;L2辅助驾驶;快充约26分钟;大型SUV,
奥迪AUDI,奥迪E5 Sportback,旅行车,纯电,235900,319900,773,100,35,5,后驱,L2,27英寸,2950,347,98,800,城市通勤;家用;有家充,CLTC续航773km;L2辅助驾驶;快充约35分钟;中型车,
吉利银河,银河星耀8,轿车,插混,125800,172800,1600,28.3,20,5,前驱,L2,15.4英寸,2928,405,98,0,城市通勤;家用;低油耗,CLTC续航1600km;L2辅助驾驶;快充约20分钟;中大型车,
奇瑞风云,风云T11,SUV,增程,189900,259900,1400,39.92,15,6,后驱,L2,30英寸,3120,798,98,1381,家庭;长途;低油耗,CLTC续航1400km;L2辅助驾驶;快充约15分钟;大型SUV,
比亚迪,夏,MPV,插混,206800,277800,218,36.6,18,7,前驱,L2,15.6英寸,3045,470,98,697,多人出行;家庭商务;低油耗,CLTC续航218km;快充约18分钟;中大型MPV,
长安启源,长安启源Q07,SUV,插混,129800,179800,1400,31.7,15,5,前驱,L2,15.4英寸,2905,763,98,4184,家庭;长途;低油耗,CLTC续航1400km;L2辅助驾驶;快充约15分钟;中型SUV,
宝马,宝马i3,轿车,纯电,278000,338000,625,79.1,32,5,后驱,L2,14.9英寸,2966,410,98,1276,城市通勤;家用;有家充,CLTC续航625km;L2辅助驾驶;快充约32分钟;中型车,
